SN,WRINVSTG_NO,DPRS_CNT,INJPSN_CNT,HNL_DMGE_CNT,PRPRTY_DMGE_AMT,UPRINSTT_NM,FRSTT_NM,WARD_NM,LFDAU_NM,FIRE_OCRN_YMD,FIRE_OCRN_TIME,RCPT_YMD,RCPT_TM,LOC_INFO_X,LOC_INFO_Y,DSP_YMD,DSP_TM,SPT_ARVL_YMD,SPT_ARVL_TM,FSMDEM_YMD,FSMDEM_TM,COMPET_YMD,COMPET_TM,HMG_YMD,HMG_TM,DSP_REQRE_TIME,FIRE_SUPESN_TIME,SPT_FRSTT_DIST,SPT_SAFE_CNTER_DIST,SPT_LFDAU_DIST,SIDO_NM,SIGUNGU_NM,EMD_NM,EMD_SE_NM,LNBR,ROAD_NM,FCLTY_PLACE_LCLAS_NM,FCLTY_PLACE_MCLAS_NM,FCLTY_PLACE_SCLAS_NM,FIRE_TYPE_NM,IGN_BHF,IGN_CAUSE,IGN_HTSRC_NM,IGN_FCTR_SCLAS_NM,IGN_FCTR_LCLAS_NM,IGN_HTSRC_SCLAS_NM,FRST_IGOBJ_LCLAS_NM,FRST_IGOBJ_SCLAS_NM,CMBS_EXPOBJ_LCLAS_NM,CMBS_EXPOBJ_SCLAS_NM,OCRN_CAUSE,ALL_HNF_CNT_SUM,MBLZ_FFPWR_CNT,LYCRG_FIREMAN_CNT,POLICE_CNT,GNRL_CNT,SOLDIER_CNT,ELCTY_GAS_INSTT_CNT,ETC_CNT,MBLZ_EQPMN_CNT,WETHR,TP,HUMIDITY,TIME_UNIT_WS,TIME_UNIT_WD,SPCNWS_CN
509,160401232203783,0,0,0,0,강원소방본부,춘천소방서,양구119안전센터,남면119지역대,20160401,124300,20160401,124339,,,20160401,124439,20160401,125311,20160401,050012,20160401,211234,20160401,214015,000832,081923,50,6,2.0,강원도,양구군,남면,,288,정중앙로 552,임야,산불,사유림,임야,산정상,미상,미상,미상,미상,미상,"종이,목재,건초등","풀, 나뭇잎",,,,953,12,100,70,250,380,20,121,18,맑음,24.0,18,135.0,4.0,
510,160401181525656,0,0,0,3445,강원소방본부,철원소방서,동송119안전센터,,20160401,141000,20160401,141031,,,20160401,141220,20160401,143210,20160401,052254,20160402,160454,20160402,223354,001950,013244,28,13,0.0,강원도,철원군,철원읍,,299,율이로 452-26,임야,산불,사유림,임야,산아래,기타,"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등",건초,,,,271,40,72,4,125,20,10,0,30,맑음,22.0,10,45.0,,
511,160401183147455,0,0,0,1518,강원소방본부,횡성소방서,횡성119안전센터,,20160401,163900,20160401,163921,,,20160401,164034,20160401,165026,20160401,051755,20160401,173244,20160401,182622,000952,004218,5,5,0.0,강원도,횡성군,횡성읍,,,갈풍1길 28,임야,산불,사유림,임야,산아래,쓰레기소각장에서확대,"불꽃, 불티","쓰레기, 논밭두렁",부주의,쓰레기 소각,"종이,목재,건초등","풀, 나뭇잎",,,,93,25,18,0,40,0,0,10,7,맑음,18.0,45,180.0,4.0,
512,160401234613461,0,0,0,0,강원소방본부,춘천소방서,양구119안전센터,남면119지역대,20160401,215800,20160401,215858,,,20160401,220158,20160401,222111,20160401,102750,20160401,223535,20160401,232011,001913,001424,52,6,8.0,강원도,양구군,남면,,47,정중앙로452번길 74,임야,산불,사유림,임야,산중턱,기타,"불꽃, 불티","모닥불, 연탄, 숯",부주의,"불씨,불꽃,화원방치","종이,목재,건초등","풀, 나뭇잎",,,,28,4,0,0,20,0,0,4,3,맑음,0.0,0,,,
513,160402071056241,0,0,0,0,강원소방본부,춘천소방서,양구119안전센터,남면119지역대,20160402,045300,20160402,045305,,,20160402,045615,20160402,050933,20160402,053221,20160402,603047,20160402,064723,001318,012114,52,6,8.0,강원도,양구군,남면,,46,정중앙로452번길 23,임야,산불,사유림,임야,산아래,기타,"불꽃, 불티","모닥불, 연탄, 숯",부주의,"불씨,불꽃,화원방치","종이,목재,건초등","풀, 나뭇잎",,,,27,5,0,0,2,0,0,20,5,맑음,0.0,0,,,
514,160402164547980,0,0,0,0,강원소방본부,춘천소방서,양구119안전센터,,20160402,123600,20160402,123639,,,20160402,123728,20160402,124147,20160402,010414,20160402,132047,20160402,135747,000419,003900,52,6,2.0,강원도,양구군,남면,,,,임야,산불,사유림,임야,산아래,기타,"불꽃, 불티","모닥불, 연탄, 숯",부주의,"불씨,불꽃,화원방치","종이,목재,건초등",건초,,,,62,5,13,4,20,0,20,0,5,맑음,20.0,21,225.0,4.0,
515,160402204020436,0,0,0,13730,강원소방본부,홍천소방서,양덕원119안전센터,서면119지역대,20160402,140000,20160402,140008,,,20160402,140112,20160402,140959,20160402,031156,20160402,154548,20160402,163613,000847,013549,33,39,7.0,강원도,홍천군,서면,,67,,임야,산불,사유림,임야,평지,기타,"불꽃, 불티","용접, 절단, 연마",부주의,"용접, 절단, 연마","종이,목재,건초등","풀, 나뭇잎",,,,148,22,38,15,50,0,23,0,17,맑음,23.0,20,225.0,,
516,160402190737433,0,0,0,4400,강원소방본부,영월소방서,중동119안전센터,김삿갓119지역대,20160402,152400,20160402,152411,,,20160402,152513,20160402,153538,20160402,041038,20160402,165938,20160402,183038,001025,012400,12,12,7.0,강원도,영월군,김삿갓면,,203,,임야,산불,국유림,임야,산아래,자동차로부터확대,"마찰, 전도, 복사","마찰열,마찰 스파크",기계적 요인,"과열, 과부하","자동차,철도차량,선박,항공기",타이어,"종이,목재,건초등","풀, 나뭇잎","기상(건조, 강풍 등)",193,10,33,10,50,0,10,80,17,맑음,24.0,15,225.0,4.0,
517,160402214429189,0,0,0,0,강원소방본부,춘천소방서,양구119안전센터,,20160402,163600,20160402,163655,,,20160402,163755,20160402,164049,20160402,045049,20160402,170049,20160402,180149,000254,002000,52,6,2.0,강원도,양구군,남면,,47,,임야,산불,사유림,임야,산중턱,기타,"불꽃, 불티","쓰레기, 논밭두렁",부주의,쓰레기 소각,"종이,목재,건초등",건초,,,,73,5,13,5,20,0,30,0,2,맑음,21.0,23,225.0,4.0,
518,160403002446101,0,0,0,0,강원소방본부,평창소방서,평창119안전센터,방림119지역대,20160402,185700,20160402,185725,,,20160402,185818,20160402,190809,20160402,102533,20160402,231133,20160402,233145,000951,040324,21,21,4.0,강원도,평창군,방림면,,1102,비네소골길 95,임야,산불,사유림,임야,산아래,"논,밭두렁으로부터확대","담뱃불, 라이터불","라이터불, 성냥불",부주의,쓰레기 소각,"종이,목재,건초등","풀, 나뭇잎","종이,목재,건초등","풀, 나뭇잎","기상(건조, 강풍 등)",335,10,40,15,150,0,100,20,14,구름조금,19.0,21,225.0,4.0,
519,160404233926739,0,0,0,220,강원소방본부,춘천소방서,화천119안전센터,,20160404,175000,20160404,175016,,,20160404,175116,20160404,181006,20160404,064406,20160404,190106,20160404,192506,001850,005100,33,8,0.0,강원도,화천군,하남면,,16,,임야,산불,사유림,임야,산중턱,기타 입산자실화,미상,미상,미상,미상,쓰레기류,쓰레기,,,,46,5,0,2,28,7,4,0,9,맑음,16.0,50,135.0,4.0,
520,160406073320204,0,0,0,0,강원소방본부,춘천소방서,화천119안전센터,,20160406,051900,20160406,051919,,,20160406,051919,20160406,052627,20160406,064427,20160406,065527,20160406,070427,000708,012900,42,6,0.0,강원도,화천군,하남면,,16,,임야,산불,국유림,임야,산중턱,기타,미상,미상,미상,미상,"종이,목재,건초등","풀, 나뭇잎",,,,54,5,18,4,12,0,0,15,8,맑음,0.0,0,,,
521,160406173032631,0,0,0,0,강원소방본부,원주소방서,문막119안전센터,지정119지역대,20160406,151400,20160406,151410,,,20160406,151542,20160406,153123,20160406,035807,20160406,162829,20160406,171556,001541,005706,38,21,7.0,강원도,원주시,부론면,,179-8,,임야,산불,사유림,임야,산아래,"논,밭두렁으로부터확대","불꽃, 불티","쓰레기, 논밭두렁",부주의,"논,임야태우기","종이,목재,건초등","풀, 나뭇잎",,,,95,8,44,3,0,0,40,0,6,맑음,18.0,20,225.0,4.0,
522,160406223819494,0,0,0,0,강원소방본부,홍천소방서,홍천119안전센터,동면119지역대,20160406,191200,20160406,191258,,,20160406,191354,20160406,193956,20160406,084137,20160406,205500,20160406,214812,002602,011504,24,24,20.0,강원도,홍천군,동면,,192-5 ,,임야,산불,사유림,임야,산아래,담뱃불,"불꽃, 불티","쓰레기, 논밭두렁",부주의,쓰레기 소각,"종이,목재,건초등",건초,,,,149,11,73,5,30,0,30,0,10,맑음,0.0,0,,,
523,160409180041474,0,0,0,0,강원소방본부,고성소방서,동광119안전센터,,20160409,153200,20160409,153241,,,20160409,153415,20160409,154250,20160409,041326,20160409,162627,20160409,163355,000835,004337,8,9,0.0,강원도,고성군,죽왕면,,141,,임야,산불,사유림,임야,산중턱,기타,"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등","풀, 나뭇잎",,,,117,9,21,16,0,0,61,10,22,맑음,24.0,30,315.0,8.0,
524,160411183026271,0,0,0,0,강원소방본부,춘천소방서,신북119안전센터,,20160411,125100,20160411,125138,,,20160411,125358,20160411,130324,20160411,014658,20160411,135511,20160411,150634,000926,005147,10,8,0.0,강원도,춘천시,신북읍,,산 2,영서로 3618,임야,산불,공유림,임야,산아래,기타,"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등","풀, 나뭇잎",,,,96,20,11,10,10,0,45,0,11,맑음,0.0,0,,,
525,160414154144392,0,0,0,0,강원소방본부,철원소방서,동송119안전센터,,20160414,133600,20160414,133629,,,20160414,133905,20160414,135529,20160414,015633,20160414,135901,20160414,153101,001624,000332,25,12,0.0,강원도,철원군,철원읍,,1112,,임야,산불,사유림,임야,산아래,쓰레기소각장에서확대,"불꽃, 불티","쓰레기, 논밭두렁",부주의,쓰레기 소각,"종이,목재,건초등","풀, 나뭇잎",,,,75,10,0,4,11,30,20,0,5,맑음,0.0,0,,,
526,160416185027296,0,0,0,0,강원소방본부,삼척소방서,봉황119안전센터,,20160416,151100,20160416,151110,,,20160416,151130,20160416,152515,20160416,034024,20160416,163525,20160416,171025,001345,011010,15,15,8.0,강원도,삼척시,미로면,,161-5 ,,임야,산불,사유림,임야,산중턱,미상,"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등","풀, 나뭇잎","종이,목재,건초등",나무,,248,18,20,6,0,0,120,84,17,구름조금,15.0,35,225.0,8.0,
527,160424074311451,0,0,0,0,강원소방본부,춘천소방서,양구119안전센터,,20160424,011100,20160424,011124,,,20160424,011755,20160424,015345,20160424,065115,20160424,065515,20160424,070915,003550,050130,75,32,5.0,강원도,양구군,해안면,,산 119,해안서화로 197-15,임야,산불,국유림,임야,산중턱,미상,미상,미상,미상,미상,미상,미상,,,,24,2,0,0,20,2,0,0,2,맑음,6.0,70,315.0,4.0,
528,160424133508893,0,0,0,0,강원소방본부,삼척소방서,원덕119안전센터,임원119지역대,20160424,095300,20160424,095319,,,20160424,095412,20160424,100848,20160424,104748,20160424,120348,20160424,132148,001436,015500,45,15,11.0,강원도,삼척시,원덕읍,,367,,임야,산불,사유림,임야,산중턱,담뱃불,"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등","풀, 나뭇잎","종이,목재,건초등","풀, 나뭇잎",기타,193,15,72,5,55,0,35,11,15,구름조금,15.0,40,180.0,4.0,
529,160426102247438,0,0,0,0,강원소방본부,춘천소방서,화천119안전센터,,20160425,130500,20160425,130521,,,20160425,130821,20160425,134018,20160425,033018,20160425,163018,20160426,170018,003157,025000,55,21,24.0,강원도,화천군,화천읍,,296,호음로 151-21,임야,산불,국유림,임야,산정상,미상,미상,미상,미상,미상,미상,미상,기타,기타,,17,2,0,0,9,6,0,0,5,맑음,0.0,0,,,
530,160428012547654,0,0,0,0,강원소방본부,춘천소방서,사내119안전센터,,20160427,231900,20160427,231921,,,20160427,232221,20160427,233606,20160427,113606,20160427,234106,20160428,002506,001345,000500,54,10,0.0,강원도,화천군,사내면,,273-40 ,천문대길 47,임야,산불,사유림,임야,평지,기타,작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,"종이,목재,건초등",건초,,,,8,4,0,2,0,0,2,0,4,흐림,8.0,39,135.0,8.0,
531,160429194131058,0,0,0,0,강원소방본부,춘천소방서,양구119안전센터,,20160429,135300,20160429,135310,,,20160429,135458,20160429,144641,20160429,051556,20160429,191027,20160429,205559,005143,042346,75,35,5.0,강원도,양구군,해안면,,24-13 ,펀치볼로 1350,임야,산불,국유림,임야,산중턱,미상,미상,미상,미상,미상,미상,미상,,,,34,4,0,0,0,30,0,0,6,맑음,21.0,20,315.0,4.0,
532,160501012357332,0,0,0,0,강원소방본부,강릉소방서,주문진119안전센터,,20160430,190200,20160430,190247,,,20160430,190328,20160430,191937,20160430,080000,20160430,201500,20160430,214038,001609,005523,27,15,0.0,강원도,강릉시,연곡면,,71,,임야,산불,사유림,임야,산아래,취사행위,"마찰, 전도, 복사","화염 전도,복사열",부주의,음식물 조리중,"종이,목재,건초등","풀, 나뭇잎","종이,목재,건초등","풀, 나뭇잎","기상(건조, 강풍 등)/원거리 소방서",298,20,118,30,70,0,60,0,20,맑음,22.0,39,270.0,8.0,강풍 주의보
533,160502141626061,0,0,0,0,강원소방본부,원주소방서,우산119안전센터,,20160502,110500,20160502,110528,,,20160502,110640,20160502,112831,20160502,114023,20160502,114023,20160502,130602,002151,001152,17,12,0.0,강원도,원주시,호저면,,산 66,향산길 116-17,임야,산불,사유림,임야,평지,쓰레기소각장에서확대,"불꽃, 불티","쓰레기, 논밭두렁",부주의,쓰레기 소각,"종이,목재,건초등","풀, 나뭇잎",,,,73,11,0,2,15,0,0,45,7,맑음,26.0,39,225.0,4.0,
534,160506041416673,0,0,0,161,강원소방본부,삼척소방서,봉황119안전센터,,20160506,031200,20160506,031211,,,20160506,031325,20160506,031810,20160506,032541,20160506,033525,20160506,035027,000445,001715,4,4,0.0,강원도,삼척시,교동,,515-17 ,,임야,산불,공유림,임야,산정상,미상,"불꽃, 불티","기타(불꽃,불티)",부주의,"불씨,불꽃,화원방치",기타,기타,,,,15,13,0,2,0,0,0,0,6,구름많음,21.0,49,225.0,4.0,
535,160507202150204,0,0,0,2310,강원소방본부,삼척소방서,도계119안전센터,,20160507,164700,20160507,164712,,,20160507,164832,20160507,165210,20160507,060250,20160507,184411,20160507,191002,000338,015201,37,20,2.0,강원도,삼척시,하장면,,25,,임야,산불,사유림,임야,산중턱,담뱃불,"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등","풀, 나뭇잎",,,,175,13,24,3,0,0,135,0,4,맑음,20.0,30,225.0,4.0,
536,160512202156321,0,0,0,544,강원소방본부,삼척소방서,근덕119안전센터,,20160512,172400,20160512,172440,,,20160512,172557,20160512,174549,20160512,055549,20160512,182749,20160512,201649,001952,004200,25,15,0.0,강원도,삼척시,근덕면,,산 53,방재로 303,임야,산불,국유림,임야,산정상,군.경사격장으로부터확대,"불꽃, 불티","기타(불꽃,불티)",부주의,"불씨,불꽃,화원방치","종이,목재,건초등","풀, 나뭇잎",,,,207,16,15,6,100,50,10,10,9,맑음,19.0,40,90.0,4.0,
537,160514220447649,0,0,0,0,강원소방본부,정선소방서,신동119안전센터,,20160514,123900,20160514,123948,,,20160514,124051,20160514,131036,20160514,020136,20160514,142020,20160514,154727,002945,010944,29,11,24.0,강원도,정선군,신동읍,,176,,임야,산불,사유림,임야,평지,"논,밭두렁으로부터확대","불꽃, 불티","기타(불꽃,불티)",부주의,"불씨,불꽃,화원방치","종이,목재,건초등","풀, 나뭇잎","종이,목재,건초등","풀, 나뭇잎",,71,8,5,3,30,0,25,0,102,맑음,26.0,9,135.0,4.0,
538,160514223313991,0,0,0,0,강원소방본부,정선소방서,사북119안전센터,남면119지역대,20160514,152000,20160514,152044,,,20160514,152548,20160514,154534,20160514,043755,20160514,172645,20160514,174616,001946,014111,34,14,13.0,강원도,정선군,남면,,135,,임야,산불,공유림,임야,산정상,미상,미상,미상,미상,미상,미상,미상,"종이,목재,건초등","풀, 나뭇잎","화재인지,신고 지연",107,8,11,2,44,0,42,0,106,맑음,27.0,14,225.0,4.0,
539,160515170922635,0,0,0,0,강원소방본부,정선소방서,신동119안전센터,,20160515,131100,20160515,131133,,,20160515,131239,20160515,134008,20160515,030052,20160515,155052,20160515,165052,002729,021044,33,9,19.0,강원도,정선군,신동읍,,174,,임야,산불,사유림,임야,산중턱,담뱃불,"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등",건초,"종이,목재,건초등",건초,가연성물질의 급격한 연소,109,6,11,2,35,0,50,5,16,맑음,23.0,50,45.0,4.0,
540,160518173950245,0,0,0,0,강원소방본부,고성소방서,간성119안전센터,,20160518,111400,20160518,111459,,,20160518,111715,20160518,113650,20160518,124500,20160518,124500,20160518,124500,001935,010810,9,9,0.0,강원도,고성군,죽왕면,,,구성1길 11,임야,산불,국유림,임야,산중턱,군.경사격장으로부터확대,"폭발물, 폭죽","폭탄, 탄약",화학적 요인,화학적 폭발,"종이,목재,건초등","풀, 나뭇잎",,,,15,8,0,4,3,0,0,0,4,맑음,20.0,35,135.0,4.0,
541,160518175741413,0,0,0,0,강원소방본부,고성소방서,거진119안전센터,,20160518,115700,20160518,115727,,,20160518,120657,20160518,123612,20160518,074408,20160518,194408,20160518,200312,002915,070756,29,12,0.0,강원도,고성군,현내면,,,통일전망대로 452,임야,산불,국유림,임야,미상,미상,"불꽃, 불티",비화,미상,미상,미상,미상,,,,3,3,0,0,0,0,0,0,2,맑음,27.0,35,135.0,4.0,
542,160518171327014,0,0,0,0,강원소방본부,양양소방서,양양119안전센터,,20160518,130300,20160518,130335,,,20160518,130453,20160518,133107,20160518,013707,20160518,153907,20160518,180007,002614,020800,8,8,0.0,강원도,양양군,강현면,,6,,임야,산불,사유림,임야,산아래,"논,밭두렁으로부터확대","불꽃, 불티","쓰레기, 논밭두렁",부주의,"논,임야태우기",기타,기타,기타,기타,,132,25,56,4,0,0,47,0,19,맑음,27.0,28,135.0,4.0,
543,160520171445139,0,0,0,0,강원소방본부,원주소방서,태장119안전센터,소초119지역대,20160520,150700,20160520,150717,,,20160520,150844,20160520,153237,20160520,035335,20160520,155335,20160520,163320,002353,002058,12,9,7.0,강원도,원주시,소초면,,992-58 ,,임야,산불,사유림,임야,산아래,쓰레기소각장에서확대,"불꽃, 불티","쓰레기, 논밭두렁",부주의,쓰레기 소각,"종이,목재,건초등",건초,,,,32,10,0,2,5,0,15,0,9,맑음,29.0,20,315.0,4.0,
544,160521212951785,0,0,0,0,강원소방본부,춘천소방서,강촌119안전센터,,20160521,150400,20160521,150406,,,20160521,150651,20160521,151859,20160521,042526,20160521,163414,20160521,170355,001208,011515,15,10,0.0,강원도,춘천시,신동면,,산 85-1,옛경춘로 114,임야,산불,사유림,임야,산아래,기타,"불꽃, 불티","용접, 절단, 연마",부주의,"용접, 절단, 연마","종이,목재,건초등","풀, 나뭇잎",,,,53,15,0,3,15,0,0,20,8,맑음,0.0,0,,,
545,160521230720075,0,0,0,0,강원소방본부,춘천소방서,양구119안전센터,,20160521,195400,20160521,195455,,,20160521,195522,20160521,200411,20160521,084845,20160521,205428,20160521,213755,000849,005017,52,8,13.0,강원도,양구군,양구읍,,6,학안로 159-7,임야,산불,사유림,임야,산중턱,기타,"불꽃, 불티","쓰레기, 논밭두렁",부주의,쓰레기 소각,"종이,목재,건초등","풀, 나뭇잎",,,,33,10,12,6,0,0,5,0,8,맑음,0.0,0,,,
546,160522185654497,0,0,0,0,강원소방본부,인제소방서,기린119안전센터,상남119지역대,20160522,142600,20160522,142602,,,20160522,142658,20160522,144326,20160522,035825,20160522,170633,20160522,172017,001628,022307,45,12,10.0,강원도,인제군,상남면,,1289-7 ,,임야,산불,국유림,임야,산아래,기타,"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등","풀, 나뭇잎",,,,84,7,27,3,10,0,37,0,11,맑음,28.0,14,0.0,8.0,
547,160522194558886,0,0,0,0,강원소방본부,춘천소방서,강촌119안전센터,,20160522,174100,20160522,174105,,,20160522,174126,20160522,175342,20160522,060436,20160522,190103,20160522,192043,001216,010721,12,9,0.0,강원도,춘천시,신동면,,,,임야,산불,사유림,임야,산중턱,담뱃불,"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등","풀, 나뭇잎",,,,29,10,0,4,0,0,15,0,9,맑음,31.0,24,270.0,4.0,
548,160530172845573,0,0,0,2333,강원소방본부,평창소방서,진부119안전센터,,20160530,134800,20160530,134841,,,20160530,134853,20160530,140243,20160530,022248,20160530,151646,20160530,165612,001350,011403,48,5,0.0,강원도,평창군,진부면,,산 191-2,약수동길 111-13,임야,산불,공유림,임야,산중턱,쓰레기소각장에서확대,"불꽃, 불티","쓰레기, 논밭두렁",부주의,"불씨,불꽃,화원방치","종이,목재,건초등","풀, 나뭇잎",,,,80,17,24,5,19,0,0,15,12,맑음,27.0,33,270.0,4.0,
549,160603161519011,0,0,0,0,강원소방본부,인제소방서,인제119안전센터,남면119지역대,20160603,112500,20160603,112504,,,20160603,112504,20160603,113410,20160603,123456,20160603,124034,20160603,143311,000906,010624,19,19,6.0,강원도,인제군,남면,,352,,임야,산불,사유림,임야,산중턱,기타 입산자실화,미상,미상,미상,미상,"종이,목재,건초등","풀, 나뭇잎",,,,138,8,14,5,28,30,35,18,11,맑음,26.0,27,180.0,8.0,
550,160604173415582,0,0,0,0,강원소방본부,춘천소방서,화천119안전센터,,20160604,110100,20160604,110142,,,20160604,110352,20160604,111354,20160604,122054,20160604,130254,20160604,131554,001002,014900,23,10,26.0,강원도,화천군,하남면,,252,춘화로 2688-40,임야,산불,사유림,임야,산중턱,담뱃불,"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등","풀, 나뭇잎",,,,28,4,0,4,16,0,4,0,3,맑음,0.0,0,,,
551,160607183904546,0,0,0,0,강원소방본부,고성소방서,동광119안전센터,,20160605,192900,20160605,192940,,,20160605,193058,20160605,193547,20160605,075008,20160605,195008,20160605,200503,000449,001421,10,5,0.0,강원도,고성군,죽왕면,,산 35-6,삼포해변길 9,임야,산불,사유림,임야,평지,담뱃불,"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등","풀, 나뭇잎",,,,14,14,0,0,0,0,0,0,6,맑음,17.0,82,45.0,4.0,
552,160606163541522,0,0,0,0,강원소방본부,강릉소방서,주문진119안전센터,,20160606,123400,20160606,123457,,,20160606,123559,20160606,131001,20160606,012043,20160606,140643,20160606,160005,003402,005642,25,10,0.0,강원도,강릉시,연곡면,,215,,임야,산불,사유림,임야,산아래,"논,밭두렁으로부터확대","불꽃, 불티","쓰레기, 논밭두렁",부주의,쓰레기 소각,"종이,목재,건초등","풀, 나뭇잎","종이,목재,건초등",건초,"기타/원거리 소방서/화재인지,신고 지연",89,15,20,7,37,0,0,10,15,맑음,21.0,67,45.0,4.0,
553,160606190640686,0,0,0,0,강원소방본부,인제소방서,인제119안전센터,남면119지역대,20160606,141100,20160606,141109,,,20160606,141241,20160606,143936,20160606,040440,20160606,170710,20160606,175533,002655,022734,10,10,4.0,강원도,인제군,남면,,,,임야,산불,국유림,임야,산중턱,담뱃불,"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등","풀, 나뭇잎",,,,51,4,20,2,15,0,10,0,7,구름많음,27.0,32,225.0,4.0,
554,160609174101023,0,0,0,0,강원소방본부,춘천소방서,화천119안전센터,,20160608,153300,20160608,153316,,,20160608,153421,20160608,155244,20160608,040244,20160608,160652,20160608,165844,001823,001408,46,11,24.0,강원도,화천군,화천읍,,106,한묵령로 270,임야,산불,국유림,임야,산중턱,기타,"폭발물, 폭죽","폭탄, 탄약",화학적 요인,화학적 폭발,"종이,목재,건초등","풀, 나뭇잎",,,,110,6,0,0,4,100,0,0,2,맑음,0.0,0,,,
555,160610155312914,0,0,0,0,강원소방본부,홍천소방서,서석119안전센터,내촌119지역대,20160610,125300,20160610,125321,,,20160610,125616,20160610,130235,20160610,015625,20160610,140744,20160610,142522,000619,010509,30,24,3.0,강원도,홍천군,내촌면,,277-1 ,,임야,산불,사유림,임야,산아래,쓰레기소각장에서확대,"불꽃, 불티","쓰레기, 논밭두렁",부주의,쓰레기 소각,"종이,목재,건초등","풀, 나뭇잎","종이,목재,건초등",나무,,72,8,45,5,12,0,0,2,9,맑음,32.0,12,270.0,4.0,
556,160610160012680,0,0,0,0,강원소방본부,정선소방서,신동119안전센터,,20160610,130700,20160610,130700,,,20160610,130712,20160610,133605,20160610,021446,20160610,141932,20160610,154152,002853,004327,32,14,25.0,강원도,정선군,신동읍,,13,,임야,산불,국유림,임야,평지,"논,밭두렁으로부터확대","불꽃, 불티","쓰레기, 논밭두렁",부주의,"논,임야태우기","종이,목재,건초등","풀, 나뭇잎",,,,38,7,0,3,18,0,0,10,6,맑음,30.0,29,315.0,4.0,
557,160617155831618,0,0,0,0,강원소방본부,춘천소방서,강촌119안전센터,,20160617,130200,20160617,130221,,,20160617,130730,20160617,131829,20160617,014958,20160617,140205,20160617,150007,001059,004336,16,10,0.0,강원도,춘천시,서면,,산 165,박사로 59,임야,산불,국유림,임야,산중턱,담뱃불,"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등","풀, 나뭇잎",,,,59,15,0,8,0,0,36,0,15,맑음,28.0,49,180.0,4.0,
558,160620173216148,0,0,0,0,강원소방본부,원주소방서,혁신119안전센터,명륜119지역대,20160620,152700,20160620,152741,,,20160620,153026,20160620,153738,20160620,034827,20160620,165951,20160620,173216,000712,012213,10,10,0.0,강원도,원주시,흥업면,,91,,임야,산불,사유림,임야,산정상,담뱃불,"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등","풀, 나뭇잎",,,,58,8,18,0,10,0,2,20,4,맑음,29.0,36,270.0,4.0,
559,160629174052680,0,0,0,4332,강원소방본부,횡성소방서,횡성119안전센터,,20160629,151400,20160629,151400,,,20160629,151420,20160629,152352,20160629,035749,20160629,155749,20160629,165045,000932,003357,36,9,0.0,강원도,횡성군,서원면,,,,임야,산불,사유림,임야,산중턱,담뱃불,"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등","풀, 나뭇잎",,,,55,8,10,0,35,0,0,2,7,맑음,30.0,52,225.0,4.0,
560,160818212327490,0,0,0,136,강원소방본부,횡성소방서,횡성119안전센터,서원119지역대,20160818,155500,20160818,155559,,,20160818,161704,20160818,170707,20160818,051952,20160818,191135,20160818,194709,005003,020428,24,24,12.0,강원도,횡성군,서원면,,100,,임야,산불,국유림,임야,산중턱,담뱃불,"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등","풀, 나뭇잎",,,,76,17,0,0,56,0,0,3,14,맑음,24.0,25,180.0,4.0,
561,160823173608058,0,0,0,0,강원소방본부,원주소방서,흥업119안전센터,귀래119지역대,20160823,161000,20160823,161026,,,20160823,161322,20160823,163415,20160823,053007,20160823,174034,20160823,181100,002053,010619,30,30,10.0,강원도,원주시,귀래면,,325,,임야,산불,사유림,임야,산정상,미상,"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등","풀, 나뭇잎",,,,34,12,0,2,0,0,20,0,6,맑음,33.0,20,,,
562,160920180116333,0,0,0,0,강원소방본부,춘천소방서,신북119안전센터,,20160920,140200,20160920,140233,,,20160920,140417,20160920,142817,20160920,040000,20160920,163000,20160920,172624,002400,020143,25,18,0.0,강원도,춘천시,사북면,,102,용화산로 76-117,임야,산불,국유림,임야,산중턱,담뱃불,"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등",종이,,,,52,12,10,0,10,0,20,0,4,구름조금,23.0,35,45.0,4.0,
